local_id,group_name,group_description,group_membership_rule,group_membership_rule_name
jobfamily_proposals,Inherited - JobFamily - Proposals,Managed by Workday - Employees in the Proposals JobFamily,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""Proposals"")",JobFam - Proposals
jobfamily_provider_partnerships,Inherited - JobFamily - Provider Partnerships,Managed by Workday - Employees in the Provider Partnerships JobFamily,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""JOB_FAMILY-3-137"")",JobFam - Provider Partnerships
jobfamily_provider_relations,Inherited - JobFamily - Provider Relations,Managed by Workday - Employees in the Provider Relations JobFamily,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""Provider Relations"")",JobFam - Provider Relations
jobfamily_psychology,Inherited - JobFamily - Psychology,Managed by Workday - Employees in the Psychology JobFamily,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""Pshychology"")",JobFam - Psychology
jobfamily_quantitative_research,Inherited - JobFamily - Quantitative Research,Managed by Workday - Employees in the Quantitative Research JobFamily,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""JOB_FAMILY-3-105"")",JobFam - Quantitative Research
jobfamily_real_estate_workplace_services,Inherited - JobFamily - Real Estate & Workplace Services,Managed by Workday - Employees in the Real Estate & Workplace Services JobFamily,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""Real Estate & Workplace Services"")",JobFam - Real Estate & Workplace Services
jobfamily_recruiting,Inherited - JobFamily - Recruiting,Managed by Workday - Employees in the Recruiting JobFamily,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""Recruiting"")",JobFam - Recruiting
jobfamily_sales_large_market,Inherited - JobFamily - Sales - Large Market,Managed by Workday - Employees in the Sales Large Market JobFamily,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""Sales - Large Market"")",JobFam - Sales - Large Market
jobfamily_sales_middle_market,Inherited - JobFamily - Sales - Middle Market,Managed by Workday - Employees in the Sales Middle Market JobFamily,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""Sales - Middle Market"")",JobFam - Sales - Middle Market
jobfamily_sales_specialty_markets,Inherited - JobFamily - Sales - Specialty Markets,Managed by Workday - Employees in the Sales Specialty Markets JobFamily,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""Sales - Specialty Markets"")",JobFam - Sales - Specialty Markets
jobfamily_scheduling_conceirge,Inherited - JobFamily - Scheduling & Conceirge,Managed by Workday - Employees in the Scheduling & Conceirge JobFamily,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""Scheduling & Conceirge"")",JobFam - Scheduling & Conceirge
jobfamily_second_opinions,Inherited - JobFamily - Second Opinions,Managed by Workday - Employees in the Second Opinions JobFamily,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""Second Opinions"")",JobFam - Second Opinions
jobfamily_security_analysis,Inherited - JobFamily - Security Analysis,Managed by Workday - Employees in the Security Analysis JobFamily,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""Security Analysis"")",JobFam - Security Analysis
jobfamily_security_engineering,Inherited - JobFamily - Security Engineering,Managed by Workday - Employees in the Security Engineering JobFamily,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""Security Engineering"")",JobFam - Security Engineering
jobfamily_service_care_quality,Inherited - JobFamily - Service & Care Quality,Managed by Workday - Employees in the Service & Care Quality JobFamily,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""Service & Care Quality"")",JobFam - Service & Care Quality
jobfamily_social_work,Inherited - JobFamily - Social Work,Managed by Workday - Employees in the Social Work JobFamily,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""Social Work"")",JobFam - Social Work
jobfamily_solutions_consulting,Inherited - JobFamily - Solutions Consulting,Managed by Workday - Employees in the Solutions Consulting JobFamily,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""Solutions Consulting"")",JobFam - Solutions Consulting
jobfamily_solutions_engineering,Inherited - JobFamily - Solutions Engineering,Managed by Workday - Employees in the Solutions Engineering JobFamily,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""Solutions Engineering"")",JobFam - Solutions Engineering
jobfamily_sourcing,Inherited - JobFamily - Sourcing,Managed by Workday - Employees in the Sourcing JobFamily,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.jobFamilyID == ""Sourcing"")",JobFam - Sourcing
